Material,Descripcion_Norm,Rubro,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,MAXI CARREFOUR,MAXICONSUMO,"Mar del Plata, EL GAUCHITO",NINI,PLAZA VEA,VITAL,YAGUAR,Unidad_Metrica,Marca_Sugerida,Nombre_Unificado,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Tipo_Ganador,Ahorro_Pct,Ahorro_Abs,Es_Bomba
100001,ACEITE MAIZ ARCOR X 900ML,ACEITES,"5580,0","5899,0",,"5678,0","5580,0","4726,02",,"6200,0",,,"4743,0","4999,89",,,"6000,0","4855,0",,900ML,ACEITE,ACEITE MAIZ ARCOR X 900ML,"4726,02","6200,0","5426,091",10,DIARCO,LISTA,"12,901939904804397","700,0709999999999",False
100010,ACEITE GIRASOL COCINERO X1.5LT,ACEITES,"5429,0","5429,0",,"5430,0","5430,0","4717,0",,"5750,0",,"4049,0","4499,0","4799,9",,"4318,96","5450,0","4499,0","4599,0",1500ML,ACEITE,ACEITE GIRASOL COCINERO X1.5LT,"4049,0","5750,0","4953,835384615385",13,MAKRO,OFERTA,"18,265350266289403","904,835384615385",False
100027,ACEITE AEROSOL FRITOLIM CLASICO X120GR,ACEITES,"4405,0","4759,0",,"4405,0","4405,0","3791,05",,,"3445,0","3500,0","2939,0","3149,9",,,,"2999,0",,120GR,ACEITE,ACEITE AEROSOL FRITOLIM CLASICO X120GR,"2939,0","4759,0","3779,7949999999996",10,MAXI CARREFOUR,LISTA,"22,24446034771726","840,7949999999996",False
100029,ACEITE AEROSOL FRITOLIM MANTECA X120GR,ACEITES,"4399,0","4759,0",,"4405,0",,,,,,,"3634,0",,,,,"3629,0",,120GR,ACEITE,ACEITE AEROSOL FRITOLIM MANTECA X120GR,"3629,0","4759,0","4165,2",5,VITAL,LISTA,"12,873331412657251","536,1999999999998",False
100043,ACEITE MEZCLA LIRA GIRA / OLIVA X1.5LT,ACEITE MEZCLA,,,,,,,,,,,,,,,,"6929,0",,1500ML,ACEITE,ACEITE MEZCLA LIRA GIRA / OLIVA X1.5LT,"6929,0","6929,0","6929,0",1,VITAL,LISTA,"0,0","0,0",False
100056,ACEITE GIRASOL NATURA X1.5LT,ACEITES,"5859,0","6326,0",,"5860,0","5858,0","4599,03","4499,9","5849,0","5936,0","5000,0","4799,0","4999,9",,"4737,62","5678,0","5099,0",,1500ML,ACEITE,ACEITE GIRASOL NATURA X1.5LT,"4499,9","6326,0","5364,317857142858",14,Hergo (MDP),OFERTA,"16,114217691105733","864,4178571428583",False
100057,ACEITE GIRASOL NATURA X3LT,ACEITES,,"12459,0",,,,"10267,03",,,,,,"10299,9",,"9399,03",,"10099,0","8999,0",3000ML,ACEITE,ACEITE GIRASOL NATURA X3LT,"8999,0","12459,0","10253,826666666668",6,YAGUAR,OFERTA,"12,237642662186614","1254,8266666666677",False
100058,ACEITE GIRASOL NATURA X5LT,ACEITES,,,,,,"15898,25",,,"18009,4",,,"16499,9",,"16735,74",,"16799,0","15999,0",5000ML,ACEITE,ACEITE GIRASOL NATURA X5LT,"15898,25","18009,4","16656,881666666668",6,DIARCO,LISTA,"4,554463925770827","758,631666666668",False
100086,ACEITE OLIVA COCINERO BOT X500ML,ACEITES,,"11549,0",,"11550,0",,"11020,62",,"12450,0",,,,,,,"12050,0","9699,0","9705,0",500ML,ACEITE,ACEITE OLIVA COCINERO BOT X500ML,"9699,0","12450,0","11146,231428571427",7,VITAL,LISTA,"12,984042524558578","1447,2314285714274",False
100200,ALIMENTO GATO BACAN PESCADO X500GR,ALIMENTOS PARA GATOS,,,,,,,,,,,,,,,,"1399,0",,500GR,ALIMENTO,ALIMENTO GATO BACAN PESCADO X500GR,"1399,0","1399,0","1399,0",1,VITAL,LISTA,"0,0","0,0",False
100260,ALIMENTO PERRO BACAN ADUL. CARNE X1.5KG,ALIMENTOS PERROS,,,,,,,,,,,,,,,,"2629,0",,1500GR,ALIMENTO,ALIMENTO PERRO BACAN ADUL. CARNE X1.5KG,"2629,0","2629,0","2629,0",1,VITAL,LISTA,"0,0","0,0",False
100262,ALIMENTO PERRO BACAN CARNE X15KG,ALIMENTO PARA MASCOT,,,,,,,,,,,,"23999,89",,,,"22999,0","23925,0",15000GR,ALIMENTO,ALIMENTO PERRO BACAN CARNE X15KG,"22999,0","23999,89","23641,296666666665",3,VITAL,LISTA,"2,7168419555103305","642,2966666666653",False
100272,ARVEJAS INCA EN LATA X350GR,CONSERVAS VEGETALES,,"789,0",,"860,96",,"577,05",,,,,,"449,88",,"608,38",,"569,0","519,0",350GR,ARVEJAS,ARVEJAS INCA EN LATA X350GR,"449,88","860,96","624,7528571428572",7,MAXICONSUMO,LISTA,"27,99072547544516","174,87285714285724",True
100277,ARVEJAS LA CAMPAGNOLA SECAS REMO.X300GR,CONSERVAS VEGETALES,"1405,0",,,,"1405,0",,,,,,,,,,,"1195,0",,300GR,ARVEJAS,ARVEJAS LA CAMPAGNOLA SECAS REMO.X300GR,"1195,0","1405,0","1335,0",3,VITAL,LISTA,"10,486891385767791","140,0",False
100293,ARROZ LARGO FINO 53 X500GR,ARROCES,,,,,,,,,,,,,,,,"534,0","399,0",500GR,ARROZ,ARROZ LARGO FINO 53 X500GR,"399,0","534,0","466,5",2,YAGUAR,OFERTA,"14,469453376205788","67,5",False
100294,ARROZ LARGO FINO 53 X1KG,ARROZ LARGO FINO,,,,,,,,,,,,,,,,"1059,0",,1000GR,ARROZ,ARROZ LARGO FINO 53 X1KG,"1059,0","1059,0","1059,0",1,VITAL,LISTA,"0,0","0,0",False
100296,ARROZ PARBOIL MOLINOS ALA G.SELECTO X1K,ARROCES,,,,,,,,,,,,"1249,89",,,,"1749,0",,1000GR,ARROZ,ARROZ PARBOIL MOLINOS ALA G.SELECTO X1K,"1249,89","1749,0","1499,4450000000002",2,MAXICONSUMO,LISTA,"16,643157968448328","249,55500000000006",False
100297,POLENTA MOLINOS ALA INSTANTANEA X730G,HARINAS,"1290,0","1289,0",,"1290,0",,,,,,,,,,,,"1099,0",,730GR,POLENTA,POLENTA MOLINOS ALA INSTANTANEA X730G,"1099,0","1290,0","1242,0",4,VITAL,LISTA,"11,513687600644122","143,0",False
100299,ARROZ DOBLE CAROLINA MOLINOS ALA X500GR,ARROCES,"1690,0",,,"1850,0",,,,"1950,0","1261,4",,"1437,0",,,"1598,76","1850,0","1435,0",,500GR,ARROZ,ARROZ DOBLE CAROLINA MOLINOS ALA X500GR,"1261,4","1950,0","1634,02",8,LUVIK S.A.,LISTA,"22,803882449419216","372,6199999999999",False
100300,ARROZ DOBLE MOLINOS ALA X1KG,ARROCES,"3250,0",,,"3250,0","3250,0",,,"3450,0","2279,0","2450,0",,,,"1885,41","3250,0","1799,0","1699,0",1000GR,ARROZ,ARROZ DOBLE MOLINOS ALA X1KG,"1699,0","3450,0","2656,241",10,YAGUAR,LISTA,"36,0374303385875","957,241",True
100310,ARROZ DOBLE GALLO SELECCION X1KG,ARROCES,"4750,0","4499,0",,"4850,0",,,,"4750,0",,,"4038,0",,,,"4500,0","3999,0",,1000GR,ARROZ,ARROZ DOBLE GALLO SELECCION X1KG,"3999,0","4850,0","4483,714285714285",7,VITAL,LISTA,"10,810552475626068","484,7142857142853",False
100311,ARROZ DOBLE GALLO X500GR,ARROCES,"2200,0","2199,0",,"2310,0","2200,0","2019,97",,"2350,0",,,"1679,0","1599,9",,"1754,49","2200,0","1699,0",,500GR,ARROZ,ARROZ DOBLE GALLO X500GR,"1599,9","2350,0","2019,2145454545455",11,MAXICONSUMO,LISTA,"20,766220528594374","419,3145454545454",False
100314,ARROZ INTEGRAL GALLO ESTUCHE X1KG,ARROCES,"3500,0",,,"3500,0",,,,,,,"2890,0",,,,,"2699,0",,1000GR,ARROZ,ARROZ INTEGRAL GALLO ESTUCHE X1KG,"2699,0","3500,0","3147,25",4,VITAL,LISTA,"14,242592739693382","448,25",False
100317,ARROZ LARGO FINO GALLO X500G,ARROCES,"1160,0","1159,0",,"1160,0","1195,0",,,"1250,0",,"866,84","995,0","899,89",,,,"999,0",,500GR,ARROZ,ARROZ LARGO FINO GALLO X500G,"866,84","1250,0","1076,081111111111",9,MAKRO,LISTA,"19,444734133011448","209,24111111111108",False
100321,ARROZ PARBOIL GALLO ORO BOLSA X500G,ARROCES,"1345,0","1339,0",,"1379,0","1345,0","1133,04",,"1400,0","1166,0","1245,0","1105,0","849,9",,"1145,25","1350,0","1105,0","1144,0",500GR,ARROZ,ARROZ PARBOIL GALLO ORO BOLSA X500G,"849,9","1400,0","1217,9421428571427",14,MAXICONSUMO,OFERTA,"30,218360126184734","368,0421428571427",True
100322,ARROZ PARBOIL GALLO ORO ESTUCHE X1KG,ARROCES,"3300,0","3129,0",,"3300,0",,"2858,81",,"3300,0","2809,0","2199,0","2699,0","2499,9",,"2499,0","3150,0","2599,0","2500,0",1000GR,ARROZ,ARROZ PARBOIL GALLO ORO ESTUCHE X1KG,"2199,0","3300,0","2834,0546153846153",13,MAKRO,OFERTA,"22,40798790316999","635,0546153846153",False
100323,ARROZ PARBOIL GALLO ORO X5KG,ARROCES,,,,,,,,,,,,,,"6999,0",,"8489,0",,5000GR,ARROZ,ARROZ PARBOIL GALLO ORO X5KG,"6999,0","8489,0","7744,0",2,NINI,OFERTA,"9,620351239669422","745,0",False
100334,ARROZ PARBOIL LUCCHETTI BOLSA X500G,ARROCES,"1155,0","1109,0",,"1155,0","1154,0",,,"1200,0","964,6",,"889,0","888,89",,"955,0","1150,0","955,0","989,0",500GR,ARROZ,ARROZ PARBOIL LUCCHETTI BOLSA X500G,"888,89","1200,0","1047,0408333333332",12,MAXICONSUMO,LISTA,"15,104552592265975","158,15083333333325",False
100335,ARROZ PARBOIL LUCCHETTI BOLSA X1KG,ARROCES,"2195,0","2099,0",,"2195,0","2198,0",,,"2250,0","1749,0",,"1699,0",,,,,"1699,0",,1000GR,ARROZ,ARROZ PARBOIL LUCCHETTI BOLSA X1KG,"1699,0","2250,0","2010,5",8,"MAXI CARREFOUR, VITAL",LISTA,"15,493658293956727","311,5",False
100355,AZUCAR DOMINO X1KG,AZUCAR,,,,,"1250,0",,,,"1113,0","919,0","1063,0",,,,,"1059,0","899,0",1000GR,AZUCAR,AZUCAR DOMINO X1KG,"899,0","1250,0","1050,5",6,YAGUAR,OFERTA,"14,421703950499762","151,5",False
100358,AZUCAR HILERET LIGHT X500GR,AZUCAR,"2419,0","2479,0",,"2801,0","2600,0","2609,91",,"2800,0","1897,4",,"2177,0","2149,9",,"1499,0","2650,0","2105,0","1999,0",500GR,AZUCAR,AZUCAR HILERET LIGHT X500GR,"1499,0","2801,0","2322,016153846154",13,NINI,OFERTA,"35,44403222531083","823,0161538461539",True
100360,AZUCAR LEDESMA X1KG,AZUCAR,,,,,,"1220,04",,,"1325,0","1309,99","1161,0","1149,9",,,,"1199,0",,1000GR,AZUCAR,AZUCAR LEDESMA X1KG,"1149,9","1325,0","1227,4883333333332",6,MAXICONSUMO,LISTA,"6,320901895876796","77,58833333333314",False
100379,BIZCOCHUELO EXQUISITA DE COCO X540GR,PREMEZCLAS HORNEABLE,"3360,0","3799,0",,"3525,0","3360,0","3137,53",,"3550,0","2703,0","2499,0","2856,0","2199,9",,,"3400,0","2535,0","2799,0",540GR,BIZCOCHUELO,BIZCOCHUELO EXQUISITA DE COCO X540GR,"2199,9","3799,0","3055,6484615384616",13,MAXICONSUMO,LISTA,"28,005461764001748","855,7484615384615",True
100380,BIZCOCHUELO EXQUISITA DE LIMON X540GR,PREMEZCLAS HORNEABLE,"3360,0","3799,0",,"3525,0","3360,0","3137,53",,"3550,0","2703,0","2499,0","2856,0","2199,9",,,"3400,0","2535,0","2799,0",540GR,BIZCOCHUELO,BIZCOCHUELO EXQUISITA DE LIMON X540GR,"2199,9","3799,0","3055,6484615384616",13,MAXICONSUMO,LISTA,"28,005461764001748","855,7484615384615",True
100381,BIZCOCHUELO EXQUISITA DE NARANJA X540GR,PREMEZCLAS HORNEABLE,"3360,0","3799,0",,"3525,0","3360,0","3137,53",,"3550,0","2703,0","2499,0","2856,0","2199,9",,,"3400,0","2535,0","2799,0",540GR,BIZCOCHUELO,BIZCOCHUELO EXQUISITA DE NARANJA X540GR,"2199,9","3799,0","3055,6484615384616",13,MAXICONSUMO,LISTA,"28,005461764001748","855,7484615384615",True
