Material,Descripción,CARREFOUR,CHANGO MAS,COOPERATIVA OBRERA (Bahia Blanca),COTO,DIA %,DIARCO,Hergo (MDP),JUMBO,LUVIK S.A.,MAKRO,"Mar del Plata, EL GAUCHITO",MAXI CARREFOUR,MAXICONSUMO,NINI,PLAZA VEA,VITAL,YAGUAR,Total general,Descripcion_Norm,Precio_Minimo,Precio_Maximo,Precio_Promedio,Competidores_Activos,Ganador,Ahorro_Pct,Ahorro_Abs
3442,CAJON + ENVASE CERVEZAX340,,,,,,,,,,,,,,,,"25,0",,"25,0",CAJON + ENVASE CERVEZAX340,"25,0","25,0","25,0",1,VITAL,"0,0","0,0"
5551,ENVASE CERVEZA X1lt,,,,,,,,,,,,,,,,"415,0",,"415,0",ENVASE CERVEZA X1LT,"415,0","415,0","415,0",1,VITAL,"0,0","0,0"
100001,Aceite maiz ARCOR x 900ml,"5580,0","5899,0",,"5678,0","5580,0","4726,02",,"6200,0",,,,"4743,0","4999,89",,"6000,0","4855,0",,"5426,091",ACEITE MAIZ ARCOR X 900ML,"4726,02","6000,0","5306,485",6,DIARCO,"10,93878527876738","580,4649999999992"
100010,Aceite girasol COCINERO x1.5lt,"5429,0","5429,0",,"5430,0","5430,0","4717,0",,"5750,0",,"4049,0",,"4499,0","4799,900000000001","4318,96","5450,0","4499,0","4599,0","4985,941411764709",ACEITE GIRASOL COCINERO X 1.5L T,"4049,0","5450,0","4810,206666666667",9,MAKRO,"15,824822495499157","761,2066666666669"
100027,Aceite aerosol FRITOLIM clasico x120gr,"4405,0","4759,0",,"4405,0","4405,0","3791,0500000000006",,,"3445,0","3500,0",,"2939,0","3149,9",,,"2999,0",,"3835,566071428571",ACEITE AEROSOL FRITOLIM CLASICO X120GR,"2999,0","4405,0","3708,3250000000003",6,VITAL,"19,127908152602597","709,3250000000003"
100029,Aceite aerosol FRITOLIM manteca x120gr,"4399,0","4759,0",,"4405,0",,,,,,,,"3634,0",,,,"3629,0",,"4247,692307692308",ACEITE AEROSOL FRITOLIM MANTECA X120GR,"3629,0","4405,0","4144,333333333333",3,VITAL,"12,434649722512662","515,333333333333"
100043,Aceite mezcla LIRA gira / oliva x1.5lt,,,,,,,,,,,,,,,,"6929,0",,"6929,0",ACEITE MEZCLA LIRA GIRA / OLIVA X 1.5L T,"6929,0","6929,0","6929,0",1,VITAL,"0,0","0,0"
100056,Aceite girasol NATURA x1.5lt,"5420,0","6326,0",,"5860,0","5858,0","4599,03","4499,900000000001","5849,0","5936,0","5000,0",,"4799,0","4999,900000000001","4737,62","5678,0","5099,0",,"5352,86705882353",ACEITE GIRASOL NATURA X 1.5L T,"4599,03","5860,0","5174,19375",8,DIARCO,"11,116007204020928","575,1637500000006"
100057,Aceite girasol NATURA x3lt,,"12459,0",,,,"10267,03",,,,,,,"10299,9","9399,03",,"10099,0","8999,0","10278,798709677418",ACEITE GIRASOL NATURA X3LT,"8999,0","10299,9","9812,792",5,YAGUAR,"8,293174868070164","813,7919999999995"
100058,Aceite girasol NATURA x5lt,,,,,,"15898,25",,,"18009,399999999998",,,,"16499,899999999998","16167,37",,"16799,0","15749,0","16331,18",ACEITE GIRASOL NATURA X5LT,"15749,0","16799,0","16222,703999999998",5,YAGUAR,"2,920006430493942","473,7039999999979"
100086,Aceite oliva COCINERO bot x500ml,,"11549,0",,"11550,0",,"11020,62",,"12450,0",,,,,,,"12050,0","9699,0","9705,0","11257,556923076922",ACEITE OLIVA COCINERO BOT X500ML,"9699,0","12050,0","10804,924",5,VITAL,"10,235370466280012","1105,924000000001"
